sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
209,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 7 6800H,16GB,512GB SSD,Win11,4GB Graph,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,
210,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,
211,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11 Home,4GB Graph,Dell G15-5520 Laptop,
212,Dell Precision 5550 Laptop (10th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Pro/ 4GB Graph),10th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Pro/ 4GB Graph,10th Gen Core i7,16GB,512GB SSD,Win10 Pro,4GB Graph,Dell Precision 5550 Laptop,
213,Lenovo Thinkpad E16 21JN004GIG Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ DOS),13th Gen Core i5/ 8GB/ 512GB SSD/ DOS,13th Gen Core i5,8GB,512GB SSD,DOS,,Lenovo Thinkpad E16 21JN004GIG Laptop,
214,Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home,13th Gen Core i3,8GB,512GB SSD,Win 11 Home,,Infinix INBook Y4 Max Series YL613 Laptop,
215,Lenovo IdeaPad Slim 3 ?15IAH8 83ER00BCIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Slim 3 ?15IAH8 83ER00BCIN Laptop,
216,HP Envy x360 15-fe0011TX Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics,13th Gen Core i7,16GB,512GB SSD,Win11,4GB Graphics,HP Envy x360 15-fe0011TX Laptop,
217,Lenovo Thinkpad E16 G1 21JN004DIG Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ DOS),13th Gen Core i3/ 8GB/ 512GB SSD/ DOS,13th Gen Core i3,8GB,512GB SSD,DOS,,Lenovo Thinkpad E16 G1 21JN004DIG Laptop,
218,MSI Commercial 14 H A13MG-064IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,13th Gen Core i5,16GB,512GB SSD,Win11,,MSI Commercial 14 H A13MG-064IN Laptop,
219,HP 15-FC0029AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7520U,8GB,512GB SSD,Win11 Home,,HP 15-FC0029AU Laptop,
220,Lenovo IdeaPad 1 82V700ECIN Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home,Celeron N4020,8GB,512GB SSD,Win11 Home,,Lenovo IdeaPad 1 82V700ECIN Laptop,
221,Honor MagicBook X16 Pro 2024 ?Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,Honor MagicBook X16 Pro 2024 ?Laptop,
222,Honor MagicBook X14 Pro 2024 ?Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,Honor MagicBook X14 Pro 2024 ?Laptop,
223,Lenovo ThinkPad P14s 21K5S00700 Laptop (AMD Ryzen 7 Pro 7840U/ 32GB/ 512GB SSD/ Win11 Pro),AMD Ryzen 7 Pro 7840U/ 32GB/ 512GB SSD/ Win11 Pro,AMD Ryzen 7 Pro 7840U,32GB,512GB SSD,Win11 Pro,,Lenovo ThinkPad P14s 21K5S00700 Laptop,
224,HP Envy x360 14-fa0038AU Laptop (AMD Ryzen 5 8640HS/ 16GB/ 512GB SSD/ Win11),AMD Ryzen 5 8640HS/ 16GB/ 512GB SSD/ Win11,AMD Ryzen 5 8640HS,16GB,512GB SSD,Win11,,HP Envy x360 14-fa0038AU Laptop,
225,HP 15s-fq5327TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,HP 15s-fq5327TU Laptop,
226,MSI Stealth 14 AI Studio A1VGG-054IN Gaming Laptop (Intel Core Ultra 7 155H/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),Intel Core Ultra 7 155H/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph,Intel Core Ultra 7 155H,32GB,1TB SSD,Win11 Home,8GB Graph,MSI Stealth 14 AI Studio A1VGG-054IN Gaming Laptop,
227,MSI Katana A15 AI B8VE-418IN Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 512GB SSD/ Win11 /6GB Graph),AMD Ryzen 7 8845HS/ 16GB/ 512GB SSD/ Win11 /6GB Graph,AMD Ryzen 7 8845HS,16GB,512GB SSD,Win11,6GB Graph,MSI Katana A15 AI B8VE-418IN Gaming Laptop,
228,MSI Cyborg 15 AI A1VEK-050IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,Intel Core Ultra 7 155H,16GB,1TB SSD,Win11,6GB Graph,MSI Cyborg 15 AI A1VEK-050IN Gaming Laptop,
229,MSI Cyborg 15 AI A1VEK-051IN Gaming Laptop (Intel Core Ultra 5 125H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Intel Core Ultra 5 125H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,Intel Core Ultra 5 125H,16GB,1TB SSD,Win11,6GB Graph,MSI Cyborg 15 AI A1VEK-051IN Gaming Laptop,
230,MSI Cyborg 15 AI A1VFK-049IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph,Intel Core Ultra 7 155H,16GB,1TB SSD,Win11,8GB Graph,MSI Cyborg 15 AI A1VFK-049IN Gaming Laptop,
231,MSI Raider GE78 HX 14VHG-805IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph,14th Gen Core i9,32GB,2TB SSD,Win11 Home,12GB Graph,MSI Raider GE78 HX 14VHG-805IN Gaming Laptop,
232,MSI Commercial 14 H A13MG vPro-065IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/Win11),13th Gen Core i7/ 32GB/ 1TB SSD/Win11,13th Gen Core i7,32GB,1TB SSD,Win11,,MSI Commercial 14 H A13MG vPro-065IN Laptop,
233,MSI Thin A15 AI B7UCX-068IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 7535H,16GB,512GB SSD,Win11,4GB Graph,MSI Thin A15 AI B7UCX-068IN Gaming Laptop,
234,MSI Thin A15 AI B7UC-067IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 7535H,16GB,512GB SSD,Win11,4GB Graph,MSI Thin A15 AI B7UC-067IN Gaming Laptop,
235,MSI Thin A15 AI B7VE-066IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,AMD Ryzen 5 7535H,16GB,512GB SSD,Win11,6GB Graph,MSI Thin A15 AI B7VE-066IN Gaming Laptop,
236,MSI Thin A15 AI B7VE-065IN Gaming Laptop (AMD Ryzen 7 7735H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),AMD Ryzen 7 7735H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,AMD Ryzen 7 7735H,16GB,1TB SSD,Win11,6GB Graph,MSI Thin A15 AI B7VE-065IN Gaming Laptop,
237,MSI Stealth 16 AI Studio A1VGG-057IN Gaming Laptop (Intel Core Ultra 9/ 32GB/ 2TB SSD/ Win11/ 8GB Graph),Intel Core Ultra 9/ 32GB/ 2TB SSD/ Win11/ 8GB Graph,Intel Core Ultra 9,32GB,2TB SSD,Win11,8GB Graph,MSI Stealth 16 AI Studio A1VGG-057IN Gaming Laptop,
238,MSI Vector 17 HX A14VHG-806IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph,14th Gen Core i9,32GB,2TB SSD,Win11 Home,12GB Graph,MSI Vector 17 HX A14VHG-806IN Gaming Laptop,
239,Chuwi HeroBook Plus Laptop (Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11),Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11,Intel Celeron N4020,8GB,256GB SSD,Win11,,Chuwi HeroBook Plus Laptop,
240,HP Omen 16-wf0179TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,13th Gen Core i7,16GB,512GB SSD,Win11,6GB Graph,HP Omen 16-wf0179TX Gaming Laptop,
241,Infinix INBook X2 Slim XL23 Series Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home,11th Gen Core i5,8GB,512GB SSD,Win 11 Home,,Infinix INBook X2 Slim XL23 Series Laptop,
242,Asus Vivobook S15 OLED S5504VA-MA951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11),13th Gen Core i9/ 16GB/ 1TB SSD/ Win11,13th Gen Core i9,16GB,1TB SSD,Win11,,Asus Vivobook S15 OLED S5504VA-MA951WS Laptop,
243,MSI Modern 15 C13M-080IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home,13th Gen Core i7,16GB,1TB SSD,Win11 Home,,MSI Modern 15 C13M-080IN Laptop,
244,MSI Modern 15 C13M-079IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home,13th Gen Core i9,16GB,1TB SSD,Win11 Home,,MSI Modern 15 C13M-079IN Laptop,
245,MSI Modern 15 C13M-081IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,MSI Modern 15 C13M-081IN Laptop,
246,Chuwi GemiBook Plus CWI620 Laptop (Intel Celeron N100/ 8GB/ 256GB SSD/ Win11 Home),Intel Celeron N100/ 8GB/ 256GB SSD/ Win11 Home,Intel Celeron N100,8GB,256GB SSD,Win11 Home,,Chuwi GemiBook Plus CWI620 Laptop,
247,HP Pavilion Plus 14-ew0116TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11,13th Gen Core i5,16GB,512GB SSD,Win 11,,HP Pavilion Plus 14-ew0116TU Laptop,
248,MSI Commercial 14 H A13MG-070IN Laptop (13th Gen Core i7/ 16 GB/ 1TB SSD/Win11 Home),13th Gen Core i7/ 16 GB/ 1TB SSD/Win11 Home,13th Gen Core i7,16 GB,1TB SSD,Win11 Home,,MSI Commercial 14 H A13MG-070IN Laptop,
249,MSI Stealth 16 AI Studio A1VFG-058IN Gaming Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph,Intel Core Ultra 7,32GB,1TB SSD,Win11 Home,8GB Graph,MSI Stealth 16 AI Studio A1VFG-058IN Gaming Laptop,
250,MSI Modern 14 D13MG-073IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,MSI Modern 14 D13MG-073IN Laptop,
251,MSI Prestige 16 AI Studio B1VFG 2024 Laptop ( Intel Core Ultra 9/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics), Intel Core Ultra 9/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics,Intel Core Ultra 9,32GB,1TB SSD,Win11,8GB Graphics,MSI Prestige 16 AI Studio B1VFG 2024 Laptop,
252,Lenovo LOQ 15IRH8 82XV00LTIN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11,4GB Graph,Lenovo LOQ 15IRH8 82XV00LTIN 2023 Gaming Laptop,
253,Lenovo IdeaPad Slim 3 82H803W7IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11,11th Gen Core i3,8GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 3 82H803W7IN Laptop,
254,Dell Inspiron 5620 ICC-C783534WIN8 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Dell Inspiron 5620 ICC-C783534WIN8 Laptop,
255,MSI Prestige 16 AI Studio B1VFG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics), Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics,Intel Core Ultra 7,32GB,1TB SSD,Win11,8GB Graphics,MSI Prestige 16 AI Studio B1VFG Laptop,
256,MSI Modern 14 D13MG-071IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home,13th Gen Core i9,16GB,1TB SSD,Win11 Home,,MSI Modern 14 D13MG-071IN Laptop,
257,MSI Modern 14 D13MG-072IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home,13th Gen Core i7,16GB,1TB SSD,Win11 Home,,MSI Modern 14 D13MG-072IN Laptop,
258,MSI Prestige 16 AI Evo  B1MG Laptop ( Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11), Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11,Intel Core Ultra 7,16GB,1TB SSD,Win11,,MSI Prestige 16 AI Evo B1MG Laptop,
259,MSI Prestige 13 AI Evo A1MG 2024 Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11 Home),Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11 Home,Intel Core Ultra 7,16GB,1TB SSD,Win11 Home,,MSI Prestige 13 AI Evo A1MG 2024 Laptop,
260,MSI Prestige 13 AI Evo A1MG Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home,Intel Core Ultra 5,16GB,1TB SSD,Win11 Home,,MSI Prestige 13 AI Evo A1MG Laptop,
261,MSI Prestige 16 AI Studio B1VEG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graphics), Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graphics,Intel Core Ultra 7,32GB,1TB SSD,Win11,6GB Graphics,MSI Prestige 16 AI Studio B1VEG Laptop,
262,Asus ROG Strix SCAR 16 2024 G634JZR-CM932WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph,14th Gen Core i9,32GB,2TB SSD,Win11 Home,12GB Graph,Asus ROG Strix SCAR 16 2024 G634JZR-CM932WS Gaming Laptop,
263,Asus TUF F17 FX706HF-NY040W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,11th Gen Core i5,16GB,512GB SSD,Win11,4GB Graph,Asus TUF F17 FX706HF-NY040W Gaming Laptop,
264,HP Pavilion 15-eh1147AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 1TB SSD/ Win11 Home),AMD Ryzen 7 5700U/ 16GB/ 1TB SSD/ Win11 Home,AMD Ryzen 7 5700U,16GB,1TB SSD,Win11 Home,,HP Pavilion 15-eh1147AU Laptop,
265,Asus Zenbook 14 OLED 2024 UX3405MA-PZ552WS Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home,Intel Core Ultra 5,16GB,1TB SSD,Win11 Home,,Asus Zenbook 14 OLED 2024 UX3405MA-PZ552WS Laptop,
266,Dell Vostro 3530 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),13th Gen Core i3/ 8GB/ 512GB SSD/ Win11,13th Gen Core i3,8GB,512GB SSD,Win11,,Dell Vostro 3530 Laptop,
267,Lenovo ThinkPad E14 21JKS0UA00 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,Lenovo ThinkPad E14 21JKS0UA00 Laptop,
268,Lenovo Thinkbook 15 21DJA0FGIH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Lenovo Thinkbook 15 21DJA0FGIH Laptop,
269,Lenovo IdeaPad Slim 5 14IMH9 83DA0043IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11,Intel Core Ultra 5,16 GB RAM,1TB SSD,Win 11,,Lenovo IdeaPad Slim 5 14IMH9 83DA0043IN Laptop,
270,HP 14-ew0153TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home,13th Gen Core i7,16GB,1TB SSD,Win11 Home,,HP 14-ew0153TU Laptop,
271,Acer Swift Go 14 SFG14-72T Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home,Intel Core Ultra 5 125H,16GB,512GB SSD,Win11 Home,,Acer Swift Go 14 SFG14-72T Laptop,
272,HP Spectre x360 16-aa0664TX Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graph),Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graph,Intel Core Ultra 7,32GB,1TB SSD,Win11,6GB Graph,HP Spectre x360 16-aa0664TX Laptop,
273,Chuwi Ubook X Laptop (10th Gen Core i3/ 12GB/ 512GB SSD/ Win11),10th Gen Core i3/ 12GB/ 512GB SSD/ Win11,10th Gen Core i3,12GB,512GB SSD,Win11,,Chuwi Ubook X Laptop,
274,HP Pavilion 15-eh1047AU Laptop (Ryzen 5 5500U/ 16GB/ 1TB SSD/ Win11 Home),Ryzen 5 5500U/ 16GB/ 1TB SSD/ Win11 Home,Ryzen 5 5500U,16GB,1TB SSD,Win11 Home,,HP Pavilion 15-eh1047AU Laptop,
275,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 1TB SSD/ Win11),12th Gen Core i3/ 16GB/ 1TB SSD/ Win11,12th Gen Core i3,16GB,1TB SSD,Win11,,Acer Aspire Lite 15 AL15-52 Laptop,
276,HP Omen 16-xd0010AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,AMD Ryzen 7 7840HS,16GB,1TB SSD,Win11,6GB Graph,HP Omen 16-xd0010AX Gaming Laptop,
277,Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home,13th Gen Core i7,16GB,512GB SSD,Win 11 Home,,Infinix INBook Y4 Max Series YL613 Laptop,
278,Dell G15-5530 GN5530194YM001ORB1 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ RTX 3050 6GB Graph),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ RTX 3050 6GB Graph,13th Gen Core i7,16GB,1TB SSD,Win11,RTX 3050 6GB Graph,Dell G15-5530 GN5530194YM001ORB1 Gaming Laptop,
279,Lenovo IdeaPad Slim 3 15IAH8 83ER008HIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Slim 3 15IAH8 83ER008HIN Laptop,
280,Lenovo Yoga Slim 6 14IRH8 83E00014IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home,13th Gen Core i7,16GB,1TB SSD,Win11 Home,,Lenovo Yoga Slim 6 14IRH8 83E00014IN Laptop,
281,Lenovo Ideapad Slim 3 Chromebook 14IAN8 83BN001PHA Laptop (Intel Pentium N100/ 4GB/ 128GB eMMC/ Chrome OS),Intel Pentium N100/ 4GB/ 128GB eMMC/ Chrome OS,Intel Pentium N100,4GB,128GB eMMC,Chrome OS,,Lenovo Ideapad Slim 3 Chromebook 14IAN8 83BN001PHA Laptop,
282,Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002LHA Laptop (MediaTek Kompanio 520/ 4GB/ 128GB eMMC/ Chrome OS),MediaTek Kompanio 520/ 4GB/ 128GB eMMC/ Chrome OS,MediaTek Kompanio 520,4GB,128GB eMMC,Chrome OS,,Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002LHA Laptop,
283,Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002RHA Laptop (MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS),MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS,MediaTek Kompanio 520,8GB,128GB eMMC,Chrome OS,,Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002RHA Laptop,
284,Lenovo LOQ 15IRX9 83DV007JIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,13th Gen Core i5,16GB,512GB SSD,Win11,6GB Graph,Lenovo LOQ 15IRX9 83DV007JIN Gaming Laptop,
285,Lenovo IdeaPad Slim 3 83EM0026IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,13th Gen Core i5,16GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 3 83EM0026IN Laptop,
286,Lenovo LOQ 15IRX9 83DV007HIN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,13th Gen Core i7,16GB,512GB SSD,Win11,6GB Graph,Lenovo LOQ 15IRX9 83DV007HIN Gaming Laptop,
287,HP Pavilion 15-eh3039AU Laptop ( AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home), AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,16GB,512GB SSD,Win11 Home,,HP Pavilion 15-eh3039AU Laptop,
288,Lenovo ThinkBook 14 21KG00AFIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home,13th Gen Core i3,8GB,512GB SSD,Win 11 Home,,Lenovo ThinkBook 14 21KG00AFIN Laptop,
289,Asus TUF Gaming F17 FX706HF-HX044WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,11th Gen Core i5,8GB,512GB SSD,Win11,4GB Graph,Asus TUF Gaming F17 FX706HF-HX044WS Laptop,
290,HP 15s-fr5010TU Laptop (12th Gen Core i5/8GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/8GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,8GB,512GB SSD,Win11 Home,,HP 15s-fr5010TU Laptop,
291,Asus Chromebook CM14 CM1402CM2A-EK0085 Laptop (MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS),MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS,MediaTek Kompanio 520,8GB,128GB eMMC,Chrome OS,,Asus Chromebook CM14 CM1402CM2A-EK0085 Laptop,
292,Lenovo LOQ 15IAX9I 83FQ0009IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,12th Gen Core i5,8GB,512GB SSD,Win11,4GB Graph,Lenovo LOQ 15IAX9I 83FQ0009IN Gaming Laptop,
293,Lenovo ThinkPad E1 21JNS03P00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,Lenovo ThinkPad E1 21JNS03P00 Laptop,
294,Lenovo ThinkBook 15 G5 21JFA016IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512 GB SSD/ Win11),AMD Ryzen 5 7530U/ 16GB/ 512 GB SSD/ Win11,AMD Ryzen 5 7530U,16GB,512 GB SSD,Win11,,Lenovo ThinkBook 15 G5 21JFA016IN Laptop,
