sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
549,Lenovo IdeaPad 1 15IGL7 82V700BSIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home,Celeron N4020,8GB,256GB SSD,Win11 Home,,Lenovo IdeaPad 1 15IGL7 82V700BSIN Laptop,
550,Gigabyte G6 KF Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics,13th Gen Core i7,16 GB RAM,512 GB SSD,Win 11,8 GB Graphics,Gigabyte G6 KF Gaming Laptop,
551,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 5500U,16GB,512GB SSD,Win11 Home,,HP 15s-eq2132AU Laptop,
552,Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph,12th Gen Core i5,8GB,512GB SSD,Win11 Home,8GB Graph,Gigabyte G5 KF-E3IN313SH Laptop,
553,Lenovo IdeaPad Flex 5 82Y0004YIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,13th Gen Core i3,8GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Flex 5 82Y0004YIN Laptop,
554,Lenovo ThinkBook 15 G3 ACL 21A4003KUS Laptop (AMD Ryzen 7 5700U/ 16GB/ 512 GB SSD/ Win11 Home),AMD Ryzen 7 5700U/ 16GB/ 512 GB SSD/ Win11 Home,AMD Ryzen 7 5700U,16GB,512 GB SSD,Win11 Home,,Lenovo ThinkBook 15 G3 ACL 21A4003KUS Laptop,
555,Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop,
556,Lenovo IdeaPad Slim 5 82XX007MIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11,AMD Ryzen 7 7730U,16GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 5 82XX007MIN Laptop,
557,Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,
558,Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph,13th Gen Core i9,16GB,1TB SSD,Win11,8GB Graph,Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,
559,Lenovo IdeaPad Slim 5 82XE0072IN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11,AMD Ryzen 7 7730U,16GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 5 82XE0072IN Laptop,
560,Lenovo IdeaPad Slim 3 82XQ008UIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7520U,8GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Slim 3 82XQ008UIN Laptop,
